,id,type_of_contract,type_of_contract2,channel,datetime,Term,payment_type,product,amount,state,overdue_count,overdue,credit rating,bank,cancellation,age,Mileage
7558,66426140,멤버십,TAS,렌탈재계약,2019-11-02,12,CMS,K1,66900,해약확정,0,없음,3.0,우체국,해약,47.31542156166957,
7597,66763606,렌탈,Normal,영업방판,2019-11-03,60,CMS,K1,124200,계약확정,0,없음,1.0,국민은행,정상,46.55335934564347,
7645,66231583,멤버십,TAS,렌탈재계약,2019-11-03,12,CMS,K1,66900,해약확정,0,없음,4.0,농협은행,해약,47.2942399487305,
7708,66755824,렌탈,Promotion,R빌리미,2019-11-03,60,카드이체,K1,105900,계약확정,0,없음,1.0,BC카드,정상,46.56406149095129,
7738,66762293,렌탈,Package,홈쇼핑/방송,2019-11-03,60,CMS,K1,81900,계약확정,5,있음,7.0,새마을금고,정상,46.451007413720596,
7750,66760034,렌탈,Package,홈쇼핑/방송,2019-11-03,60,카드이체,K2,81900,계약확정,0,없음,1.0,국민카드,정상,46.578097091354984,
7782,66763803,렌탈,Normal,서비스 방문,2019-11-03,60,CMS,K1,96900,계약확정,0,없음,5.0,국민은행,정상,46.48459838934642,
7788,66762563,렌탈,Normal,홈쇼핑/방송,2019-11-03,60,CMS,K1,96900,계약확정,0,없음,4.0,국민은행,정상,46.505780002285476,
7821,66426054,멤버십,TAS,렌탈재계약,2019-11-03,12,CMS,K1,66900,계약확정,0,없음,5.0,우체국,정상,47.27305833579144,
7832,66756013,렌탈,Package,홈쇼핑/방송,2019-11-03,60,카드이체,K1,98400,계약확정,0,없음,5.0,국민카드,정상,46.48372116432118,
7856,66763832,렌탈,Normal,서비스 방문,2019-11-03,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
7897,66823553,렌탈,Package,홈쇼핑/방송,2019-11-03,60,CMS,K1,81900,해약확정,0,없음,4.0,국민은행,해약,46.51455225253779,
7918,66247240,렌탈,Extension_Rental,서비스 방문,2019-11-03,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
8046,66426908,멤버십,TAS,렌탈재계약,2019-11-04,12,CMS,K1,66900,계약확정,0,없음,3.0,국민은행,정상,47.31542156166957,
8053,66759726,렌탈,Normal,서비스 방문,2019-11-04,60,CMS,K1,96900,계약확정,0,없음,6.0,농협은행,정상,46.46341677640735,
8065,66764524,렌탈,Normal,영업방판,2019-11-04,60,CMS,K4,144900,계약확정,0,없음,2.0,농협은행,정상,46.52007202735622,
8125,66764062,렌탈,Normal,서비스 방문,2019-11-04,60,CMS,K1,96900,계약확정,0,없음,4.0,우리은행,정상,46.505780002285476,
8158,66764404,렌탈,Normal,홈쇼핑/방송,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,4.0,BC카드,정상,46.505780002285476,
8161,66700998,렌탈,Promotion,서비스 방문,2019-11-04,60,카드이체,K3,90900,계약확정,0,없음,7.0,롯데카드,정상,46.44574406356921,
8163,66762050,렌탈,Promotion,홈쇼핑/방송,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,1.0,신한카드,정상,46.56932484110268,
8193,66764366,렌탈,Normal,홈쇼핑/방송,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.56932484110268,
8201,66764589,렌탈,Promotion,일반,2019-11-04,60,CMS,K1,87900,계약확정,0,없음,2.0,국민은행,정상,46.553406578315,
8280,66763810,렌탈,Package,서비스 방문,2019-11-04,60,카드이체,K1,98400,계약확정,0,없음,5.0,외환카드,정상,46.48372116432118,
8281,66763810,렌탈,Package,서비스 방문,2019-11-04,60,카드이체,K2,89400,계약확정,0,없음,5.0,외환카드,정상,46.48898451447257,
8282,66764671,렌탈,Normal,홈쇼핑/방송,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
8288,66764228,렌탈,Normal,R인터넷,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,3.0,롯데카드,정상,46.52696161522454,
8304,66763671,렌탈,Promotion,하이마트,2019-11-04,60,CMS,K1,118200,계약확정,0,없음,1.0,국민은행,정상,46.5568682457444,
8320,66762036,렌탈,Package,홈쇼핑/방송,2019-11-04,60,CMS,K1,81900,계약확정,4,있음,6.0,신한은행,정상,46.472189026659656,
8353,66760774,렌탈,Package,홈쇼핑/방송,2019-11-04,60,CMS,K2,81900,계약확정,0,없음,3.0,국민은행,정상,46.53573386547686,
8358,66764537,렌탈,Promotion,렌탈총판,2019-11-04,60,CMS,K1,105900,계약확정,0,없음,5.0,우리은행,정상,46.47933503919503,
8503,66270912,렌탈,Extension_Rental,서비스 방문,2019-11-04,60,CMS,K1,96900,계약확정,0,없음,1.0,농협은행,정상,46.56932484110268,
8509,66763953,렌탈,Promotion,하이마트,2019-11-04,60,카드이체,K1,87900,계약확정,0,없음,4.0,외환카드,정상,46.511043352436864,
8511,66764126,렌탈,Normal,렌탈총판,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,2.0,외환카드,정상,46.54814322816361,
8517,66764262,렌탈,Promotion,이마트,2019-11-04,60,카드이체,K1,96900,계약확정,0,없음,6.0,롯데카드,정상,46.46341677640735,
8547,66611983,렌탈,Package,홈쇼핑/방송,2019-11-04,60,카드이체,K1,81900,계약확정,0,없음,6.0,신한카드,정상,46.472189026659656,
8575,66764193,렌탈,Promotion,전자랜드,2019-11-04,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
8591,66764455,렌탈,Promotion,하이마트,2019-11-04,60,CMS,K1,105900,계약확정,0,없음,1.0,농협은행,정상,46.56406149095129,
8606,66764203,렌탈,Package,홈쇼핑/방송,2019-11-04,60,CMS,K2,81900,계약확정,0,없음,1.0,국민은행,정상,46.578097091354984,
8618,66758422,렌탈,Promotion,전자랜드,2019-11-04,60,카드이체,K1,105900,계약확정,0,없음,3.0,대구은행,정상,46.52169826507316,
8625,66762079,렌탈,Package,홈쇼핑/방송,2019-11-04,60,카드이체,K2,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
8661,66319575,렌탈,Normal,일반,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
8667,66764440,렌탈,Normal,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
8714,66764993,렌탈,Normal,영업방판,2019-11-05,60,CMS,K3,102900,계약확정,0,없음,7.0,신한은행,정상,46.43872626336736,
8755,66764696,렌탈,Promotion,홈쇼핑/방송,2019-11-05,60,카드이체,K1,96900,계약확정,0,없음,3.0,롯데카드,정상,46.52696161522454,
8768,66764555,렌탈,Normal,서비스 방문,2019-11-05,60,CMS,K1,115200,계약확정,0,없음,2.0,전북은행,정상,46.53744108285579,
8780,66764547,렌탈,Package,홈쇼핑/방송,2019-11-05,60,카드이체,K1,81900,계약확정,0,없음,8.0,BC카드,정상,46.42982580078153,
8810,66322128,렌탈,Extension_Rental,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,1.0,광주은행,정상,46.56932484110268,
8822,66764149,렌탈,Promotion,홈쇼핑/방송,2019-11-05,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
8856,66424752,렌탈,Extension_Rental,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,8.0,부산은행,정상,46.421053550529216,
8898,66426350,렌탈,Extension_Rental,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,3.0,국민은행,정상,46.52696161522454,
8901,66764796,렌탈,Normal,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,9.0,농협은행,정상,46.399871937590156,
8902,66760967,렌탈,Package,홈쇼핑/방송,2019-11-05,60,카드이체,K1,81900,계약확정,0,없음,7.0,롯데카드,정상,46.451007413720596,
8910,66763161,렌탈,Package,홈쇼핑/방송,2019-11-05,60,카드이체,K2,81900,계약확정,0,없음,6.0,신한카드,정상,46.472189026659656,
8920,66765197,렌탈,Normal,서비스 방문,2019-11-05,60,CMS,K2,96900,계약확정,0,없음,2.0,기업은행,정상,46.54814322816361,
8937,66763848,렌탈,Promotion,전자랜드,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,2.0,대구은행,정상,46.54814322816361,
8951,66765167,렌탈,Promotion,렌탈총판,2019-11-05,60,CMS,K1,105900,계약확정,0,없음,1.0,우리은행,정상,46.56406149095129,
8972,66421115,렌탈,Extension_Rental,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,3.0,하나은행,정상,46.52696161522454,
9016,66930125,렌탈,Normal,렌탈총판,2019-11-05,60,CMS,K1,96900,해약확정,0,없음,2.0,농협은행,해약,46.54814322816361,
9040,66428329,렌탈,Extension_Rental,서비스 방문,2019-11-05,60,CMS,K1,102900,계약확정,0,없음,3.0,BC카드,정상,46.52345271512362,
9061,66760871,렌탈,Package,홈쇼핑/방송,2019-11-05,60,CMS,K1,81900,계약확정,3,있음,7.0,신한은행,정상,46.451007413720596,
9158,66764898,렌탈,Package,홈쇼핑/방송,2019-11-05,60,CMS,K1,81900,계약확정,0,없음,3.0,농협은행,정상,46.53573386547686,
9184,66765283,렌탈,Promotion,이마트,2019-11-05,60,CMS,K1,111900,계약확정,0,없음,4.0,농협은행,정상,46.49700775203317,
9210,66764992,렌탈,Package,홈쇼핑/방송,2019-11-05,60,CMS,K2,81900,계약확정,0,없음,6.0,농협은행,정상,46.472189026659656,
9211,66764566,렌탈,Normal,홈쇼핑/방송,2019-11-05,60,카드이체,K1,96900,계약확정,0,없음,1.0,BC카드,정상,46.56932484110268,
9217,66764232,렌탈,Promotion,서비스 방문,2019-11-05,60,CMS,K2,110700,계약확정,0,없음,3.0,농협은행,정상,46.51889114499242,
9238,66763585,렌탈,Package,홈쇼핑/방송,2019-11-05,60,CMS,K2,81900,계약확정,0,없음,2.0,농협은행,정상,46.55691547841592,
9248,66765032,렌탈,Promotion,하이마트,2019-11-05,60,CMS,K1,111900,계약확정,0,없음,4.0,국민은행,정상,46.49700775203317,
9271,66764367,렌탈,Promotion,서비스 방문,2019-11-05,60,CMS,K2,90900,계약확정,0,없음,2.0,농협은행,정상,46.551652128264536,
9273,66764220,렌탈,Package,홈쇼핑/방송,2019-11-05,60,카드이체,K2,81900,계약확정,0,없음,3.0,롯데카드,정상,46.53573386547686,
9282,66764472,렌탈,Normal,렌탈총판,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,1.0,기업은행,정상,46.56932484110268,
9299,66426356,멤버십,TAS,렌탈재계약,2019-11-05,12,CMS,K1,66900,계약확정,0,없음,2.0,우리은행,정상,47.33660317460863,
9300,66168359,렌탈,Extension_Rental,서비스 방문,2019-11-05,60,CMS,K1,96900,계약확정,0,없음,4.0,농협은행,정상,46.505780002285476,
9314,66765777,렌탈,Normal,홈쇼핑/방송,2019-11-06,60,카드이체,K1,96900,계약확정,0,없음,2.0,국민카드,정상,46.54814322816361,
9321,66764981,렌탈,Promotion,서비스 방문,2019-11-06,60,카드이체,K2,90900,계약확정,0,없음,2.0,롯데카드,정상,46.551652128264536,
9337,66765339,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K1,105900,계약확정,0,없음,6.0,우리은행,정상,46.45815342625596,
9357,66765222,렌탈,Normal,R빌리미,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
9400,66544093,렌탈,Normal,서비스 방문,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
9434,66764462,렌탈,Package,영업방판,2019-11-06,60,CMS,K2,89400,계약확정,0,없음,5.0,하나은행,정상,46.48898451447257,
9472,66717654,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K2,90900,계약확정,0,없음,1.0,농협은행,정상,46.5728337412036,
9475,66765500,렌탈,Promotion,서비스 방문,2019-11-06,60,카드이체,K1,111900,계약확정,1,있음,6.0,롯데카드,정상,46.454644526155036,
9540,66765441,렌탈,Normal,홈쇼핑/방송,2019-11-06,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
9594,66179650,렌탈,Extension_Rental,서비스 방문,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
9596,66765140,렌탈,Package,홈쇼핑/방송,2019-11-06,60,CMS,K2,81900,계약확정,0,없음,2.0,농협은행,정상,46.55691547841592,
9616,66765504,렌탈,Package,홈쇼핑/방송,2019-11-06,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
9620,66765104,렌탈,Normal,영업방판,2019-11-06,60,카드이체,K1,96900,계약확정,0,없음,6.0,BC카드,정상,46.46341677640735,
9625,66764970,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K3,90900,계약확정,0,없음,1.0,국민은행,정상,46.5728337412036,
9650,66765556,렌탈,Promotion,렌탈총판,2019-11-06,60,CMS,K1,105900,계약확정,0,없음,1.0,국민은행,정상,46.56406149095129,
9672,66764768,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K1,105900,계약확정,0,없음,7.0,신한은행,정상,46.4369718133169,
9686,66760857,렌탈,Package,홈쇼핑/방송,2019-11-06,60,카드이체,K1,81900,계약확정,0,없음,6.0,롯데카드,정상,46.472189026659656,
9693,66189638,렌탈,Extension_Rental,서비스 방문,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,1.0,농협은행,정상,46.56932484110268,
9710,66597160,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K3,90900,계약확정,0,없음,7.0,우체국,정상,46.44574406356921,
9730,66765483,렌탈,Normal,렌탈총판,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,6.0,국민은행,정상,46.46341677640735,
9750,66765385,렌탈,Package,홈쇼핑/방송,2019-11-06,60,카드이체,K2,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
9758,66427312,렌탈,Extension_Rental,서비스 방문,2019-11-06,60,CMS,K1,102900,계약확정,0,없음,3.0,농협은행,정상,46.52345271512362,
9768,66765203,렌탈,Promotion,전자랜드,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,8.0,농협은행,정상,46.421053550529216,
9802,66765734,렌탈,Promotion,영업방판,2019-11-06,60,카드이체,K1,105900,계약확정,0,없음,4.0,신한카드,정상,46.500516652134095,
9835,66765211,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K1,105900,계약확정,0,없음,2.0,전북은행,정상,46.54287987801222,
9838,66765528,렌탈,Promotion,전자랜드,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,3.0,우체국,정상,46.52696161522454,
9840,66762745,렌탈,Normal,홈쇼핑/방송,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,5.0,기업은행,정상,46.48459838934642,
9842,66474018,렌탈,Promotion,서비스 방문,2019-11-06,60,CMS,K1,105900,계약확정,0,없음,3.0,우리은행,정상,46.52169826507316,
9848,66764384,렌탈,Promotion,일반,2019-11-06,60,카드이체,K1,96900,계약확정,0,없음,1.0,BC카드,정상,46.56932484110268,
9855,66765015,렌탈,Normal,렌탈총판,2019-11-06,60,CMS,K1,87900,계약확정,0,없음,5.0,신한은행,정상,46.4898617394978,
9890,66764477,렌탈,Normal,렌탈총판,2019-11-06,60,카드이체,K1,96900,계약확정,0,없음,1.0,국민카드,정상,46.56932484110268,
9900,66764585,렌탈,Normal,서비스 방문,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,7.0,신한은행,정상,46.44223516346828,
9923,66761991,렌탈,Package,홈쇼핑/방송,2019-11-06,60,CMS,K2,81900,계약확정,0,없음,2.0,국민은행,정상,46.55691547841592,
9930,66765056,렌탈,Normal,홈쇼핑/방송,2019-11-06,60,CMS,K1,96900,계약확정,0,없음,2.0,농협은행,정상,46.54814322816361,
9951,66765397,렌탈,Normal,R빌리미,2019-11-06,60,CMS,K1,105900,계약확정,0,없음,5.0,농협은행,정상,46.47933503919503,
10054,66755426,렌탈,Promotion,하이마트,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,6.0,국민은행,정상,46.46341677640735,
10056,66764838,렌탈,Package,렌탈총판,2019-11-07,60,CMS,K1,98400,계약확정,0,없음,1.0,광주은행,정상,46.56844761607744,
10084,66422008,렌탈,Promotion,일반,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,8.0,우리은행,정상,46.421053550529216,
10100,66764808,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,1.0,외환은행,정상,46.56932484110268,
10104,66765933,렌탈,Package,홈쇼핑/방송,2019-11-07,60,카드이체,K2,81900,계약확정,0,없음,4.0,롯데카드,정상,46.51455225253779,
10119,66765977,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
10188,66427287,멤버십,TAS,렌탈재계약,2019-11-07,12,카드이체,K1,66900,계약확정,0,없음,1.0,롯데카드,정상,47.3577847875477,
10192,66198103,렌탈,Normal,서비스 방문,2019-11-07,60,카드이체,K1,87900,계약확정,0,없음,1.0,롯데카드,정상,46.57458819125406,
10195,66703136,렌탈,Normal,서비스 방문,2019-11-07,36,카드이체,K2,102900,계약확정,0,없음,1.0,롯데카드,정상,46.95127366397195,
10207,66759573,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
10217,66766233,렌탈,Normal,렌탈총판,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,1.0,신한카드,정상,46.56932484110268,
10230,66765415,렌탈,Promotion,서비스 방문,2019-11-07,60,CMS,K1,111900,계약확정,0,없음,2.0,국민은행,정상,46.539370977911304,
10257,66764187,렌탈,Promotion,홈플러스,2019-11-07,60,카드이체,K1,87900,계약확정,0,없음,1.0,롯데카드,정상,46.57458819125406,
10274,66765021,렌탈,Package,홈쇼핑/방송,2019-11-07,60,카드이체,K2,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
10284,66791539,렌탈,Normal,렌탈총판,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,2.0,부산은행,정상,46.54814322816361,
10286,66766040,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,2.0,롯데카드,정상,46.54814322816361,
10318,66765864,렌탈,Promotion,홈쇼핑/방송,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,2.0,국민카드,정상,46.54814322816361,
10320,66262662,렌탈,Extension_Rental,서비스 방문,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.56932484110268,
10365,66450343,렌탈,Promotion,서비스 방문,2019-11-07,60,CMS,K2,90900,계약확정,0,없음,3.0,국민카드,정상,46.53047051532547,
10371,66766117,렌탈,Promotion,서비스 방문,2019-11-07,60,CMS,K2,90900,계약확정,0,없음,2.0,신협중앙회,정상,46.551652128264536,
10383,66763977,렌탈,Normal,서비스 방문,2019-11-07,60,CMS,K1,87900,계약확정,0,없음,6.0,기업은행,정상,46.46868012655874,
10386,66764709,렌탈,Normal,서비스 방문,2019-11-07,60,CMS,K1,115200,계약확정,0,없음,2.0,국민은행,정상,46.53744108285579,
10426,66765308,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
10435,66764800,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,4.0,삼성카드,정상,46.505780002285476,
10443,66226589,렌탈,Extension_Rental,서비스 방문,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,1.0,기업은행,정상,46.56932484110268,
10457,66691909,렌탈,Normal,R빌리미,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,2.0,농협은행,정상,46.54814322816361,
10461,66303900,렌탈,Package,서비스 방문,2019-11-07,60,CMS,K1,89400,계약확정,0,없음,1.0,대구은행,정상,46.57371096622883,
10471,66766099,렌탈,Promotion,서비스 방문,2019-11-07,60,카드이체,K1,105900,계약확정,0,없음,1.0,현대카드,정상,46.56406149095129,
10476,66765955,렌탈,Package,홈쇼핑/방송,2019-11-07,60,CMS,K2,81900,계약확정,0,없음,1.0,외환은행,정상,46.578097091354984,
10495,66721866,렌탈,Normal,서비스 방문,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,7.0,농협은행,정상,46.44223516346828,
10500,66765443,렌탈,Promotion,서비스 방문,2019-11-07,60,카드이체,K1,105900,계약확정,0,없음,1.0,롯데카드,정상,46.56406149095129,
10555,66765361,렌탈,Package,서비스 방문,2019-11-07,60,CMS,K1,98400,계약확정,0,없음,4.0,국민은행,정상,46.50490277726025,
10577,66766209,렌탈,Normal,홈쇼핑/방송,2019-11-07,60,카드이체,K1,96900,계약확정,0,없음,1.0,국민카드,정상,46.56932484110268,
10604,66759642,렌탈,Package,홈쇼핑/인터넷,2019-11-07,60,카드이체,K2,81900,계약확정,0,없음,3.0,롯데카드,정상,46.53573386547686,
10609,66765825,렌탈,Promotion,렌탈총판,2019-11-07,60,카드이체,K1,111900,계약확정,0,없음,1.0,롯데카드,정상,46.560552590850364,
10615,66427243,멤버십,TAS,렌탈재계약,2019-11-07,12,CMS,K1,66900,계약확정,0,없음,3.0,우리은행,정상,47.31542156166957,
10626,66765694,렌탈,Normal,서비스 방문,2019-11-07,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
10645,66765192,렌탈,Package,홈쇼핑/방송,2019-11-07,60,카드이체,K2,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
10647,66765969,렌탈,Package,홈쇼핑/방송,2019-11-07,60,CMS,K2,81900,계약확정,0,없음,1.0,외환은행,정상,46.578097091354984,
10656,66763686,렌탈,Promotion,서비스 방문,2019-11-07,60,CMS,K1,105900,계약확정,0,없음,1.0,국민은행,정상,46.56406149095129,
10710,66673459,렌탈,Normal,서비스 방문,2019-11-08,60,카드이체,K1,96900,계약확정,0,없음,1.0,신한카드,정상,46.56932484110268,
10717,66764576,렌탈,Promotion,서비스 방문,2019-11-08,60,CMS,K1,105900,계약확정,0,없음,5.0,우리은행,정상,46.47933503919503,
10752,66766705,렌탈,Normal,홈쇼핑/방송,2019-11-08,60,CMS,K1,96900,계약확정,0,없음,7.0,국민은행,정상,46.44223516346828,
10781,66766887,렌탈,Promotion,렌탈총판,2019-11-08,60,카드이체,K1,105900,계약확정,0,없음,3.0,외환카드,정상,46.52169826507316,
10789,66765861,렌탈,Promotion,서비스 방문,2019-11-08,36,카드이체,K2,102900,계약확정,0,없음,1.0,롯데카드,정상,46.95127366397195,
10814,66766349,렌탈,Package,서비스 방문,2019-11-08,60,카드이체,K1,104400,계약확정,12,있음,9.0,BC카드,정상,46.395485812463996,
10852,66689756,렌탈,Promotion,서비스 방문,2019-11-08,60,CMS,K1,96900,계약확정,0,없음,6.0,기업은행,정상,46.46341677640735,
10881,66551312,렌탈,Promotion,서비스 방문,2019-11-08,60,카드이체,K3,90900,계약확정,0,없음,1.0,롯데카드,정상,46.5728337412036,
10892,66766333,렌탈,Promotion,서비스 방문,2019-11-08,60,CMS,K1,105900,계약확정,0,없음,4.0,SC제일은행,정상,46.500516652134095,
10916,66766767,렌탈,Promotion,서비스 방문,2019-11-08,60,카드이체,K1,111900,계약확정,0,없음,6.0,롯데카드,정상,46.454644526155036,
10943,66351515,렌탈,Extension_Rental,서비스 방문,2019-11-08,60,CMS,K1,96900,계약확정,0,없음,1.0,국민은행,정상,46.56932484110268,
10986,66765108,렌탈,Package,홈쇼핑/방송,2019-11-08,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
11010,66183101,렌탈,Package,홈쇼핑/방송,2019-11-08,60,카드이체,K1,81900,계약확정,0,없음,2.0,롯데카드,정상,46.55691547841592,
11026,66764039,렌탈,Normal,홈쇼핑/방송,2019-11-08,60,CMS,K1,96900,계약확정,0,없음,2.0,국민은행,정상,46.54814322816361,
11068,66763668,렌탈,Package,홈쇼핑/방송,2019-11-08,60,카드이체,K1,90900,계약확정,0,없음,8.0,외환카드,정상,46.42456245063014,
11073,66598074,렌탈,Extension_Rental,서비스 방문,2019-11-08,60,카드이체,K1,102900,계약확정,0,없음,1.0,신한카드,정상,46.56581594100175,
11156,66766207,렌탈,Package,홈쇼핑/방송,2019-11-08,60,CMS,K2,81900,계약확정,0,없음,3.0,국민은행,정상,46.53573386547686,
11232,66765669,렌탈,Normal,서비스 방문,2019-11-08,60,CMS,K3,102900,계약확정,0,없음,8.0,신한은행,정상,46.4175446504283,
11248,66766773,렌탈,Promotion,영업방판,2019-11-08,39,카드이체,K5,120900,계약확정,0,없음,2.0,롯데카드,정상,46.87138313535884,
11252,66766263,렌탈,Package,홈쇼핑/방송,2019-11-08,60,카드이체,K2,81900,계약확정,0,없음,6.0,롯데카드,정상,46.472189026659656,
11260,66763592,렌탈,Package,렌탈총판,2019-11-08,60,CMS,K1,81900,계약확정,0,없음,1.0,국민은행,정상,46.578097091354984,
11301,66766981,렌탈,Normal,홈쇼핑/방송,2019-11-08,60,CMS,K2,96900,계약확정,0,없음,1.0,기업은행,정상,46.56932484110268,
11316,66427407,멤버십,TAS,R관리방판,2019-11-08,12,CMS,K2,55200,해약확정,0,없음,1.0,경남은행,해약,47.364627142744496,
11343,66764945,렌탈,Promotion,전자랜드,2019-11-08,60,CMS,K1,96900,계약확정,0,없음,7.0,농협은행,정상,46.44223516346828,
11405,66765720,렌탈,Normal,렌탈총판,2019-11-08,60,카드이체,K1,96900,계약확정,0,없음,4.0,삼성카드,정상,46.505780002285476,
11473,66428024,멤버십,TAS,렌탈재계약,2019-11-09,12,카드이체,K1,66900,계약확정,0,없음,1.0,롯데카드,정상,47.3577847875477,
11478,66427348,멤버십,TAS,렌탈재계약,2019-11-09,12,CMS,K1,66900,계약확정,0,없음,5.0,농협은행,정상,47.27305833579144,
11496,66765424,렌탈,Package,홈쇼핑/방송,2019-11-10,60,CMS,K2,81900,계약확정,0,없음,8.0,우체국,정상,46.42982580078153,
11504,66766801,렌탈,Promotion,일반,2019-11-10,60,카드이체,K1,105900,계약확정,0,없음,2.0,롯데카드,정상,46.54287987801222,
11511,66427208,렌탈,Extension_Rental,서비스 방문,2019-11-10,60,CMS,K1,96900,계약확정,0,없음,7.0,우리은행,정상,46.44223516346828,
11533,66698643,렌탈,Promotion,서비스 방문,2019-11-10,60,CMS,K3,90900,계약확정,0,없음,2.0,국민은행,정상,46.551652128264536,
11563,66766012,렌탈,Promotion,서비스 방문,2019-11-10,60,CMS,K1,105900,계약확정,0,없음,8.0,농협은행,정상,46.415790200377835,
11621,66756544,렌탈,Package,홈쇼핑/방송,2019-11-10,60,CMS,K1,81900,계약확정,0,없음,2.0,국민은행,정상,46.55691547841592,
11640,66759257,렌탈,Promotion,홈쇼핑/방송,2019-11-10,60,카드이체,K1,96900,계약확정,0,없음,7.0,신한카드,정상,46.44223516346828,
11650,66767040,렌탈,Package,홈쇼핑/방송,2019-11-10,60,CMS,K2,81900,계약확정,0,없음,6.0,우리은행,정상,46.472189026659656,
11686,66766925,렌탈,Promotion,서비스 방문,2019-11-10,60,CMS,K1,111900,계약확정,0,없음,2.0,새마을금고,정상,46.539370977911304,
11710,66726702,렌탈,Package,홈쇼핑/방송,2019-11-10,60,카드이체,K2,81900,계약확정,0,없음,1.0,롯데카드,정상,46.578097091354984,
11729,66766757,렌탈,Promotion,서비스 방문,2019-11-10,60,CMS,K2,90900,계약확정,0,없음,4.0,농협은행,정상,46.5092889023864,
